time,sound,probability
1.62,Music,0.6018573045730591
1.63,Music,0.6018573045730591
1.64,Music,0.6018573045730591
1.65,Music,0.6018573045730591
1.66,Music,0.6018573045730591
1.67,Music,0.6018573045730591
1.68,Music,0.6018573045730591
1.69,Music,0.6018573045730591
1.7,Music,0.6018573045730591
1.71,Music,0.6018573045730591
1.72,Music,0.6018573045730591
1.73,Music,0.6018573045730591
1.74,Music,0.6018573045730591
1.75,Music,0.6018573045730591
1.76,Music,0.6018573045730591
1.77,Music,0.6018573045730591
1.78,Music,0.6018573045730591
1.79,Music,0.6018573045730591
1.8,Music,0.6018573045730591
1.81,Music,0.6018573045730591
1.82,Music,0.6018573045730591
1.83,Music,0.6018573045730591
1.84,Music,0.6018573045730591
1.85,Music,0.6018573045730591
1.86,Music,0.6018573045730591
1.87,Music,0.6018573045730591
1.88,Music,0.6018573045730591
1.89,Music,0.6018573045730591
1.9,Music,0.6018573045730591
1.91,Music,0.6018573045730591
1.92,Music,0.6625955104827881
1.93,Music,0.6625955104827881
1.94,Music,0.6625955104827881
1.95,Music,0.6625955104827881
1.96,Music,0.6625955104827881
1.97,Music,0.6625955104827881
1.98,Music,0.6625955104827881
1.99,Music,0.6625955104827881
2.0,Music,0.6625955104827881
2.01,Music,0.6625955104827881
2.02,Music,0.6625955104827881
2.03,Music,0.6625955104827881
2.04,Music,0.6625955104827881
2.05,Music,0.6625955104827881
2.06,Music,0.6625955104827881
2.07,Music,0.6625955104827881
2.08,Music,0.6625955104827881
2.09,Music,0.6625955104827881
2.1,Music,0.6625955104827881
2.11,Music,0.6625955104827881
2.12,Music,0.6625955104827881
2.13,Music,0.6625955104827881
2.14,Music,0.6625955104827881
2.15,Music,0.6625955104827881
2.16,Music,0.6625955104827881
2.17,Music,0.6625955104827881
2.18,Music,0.6625955104827881
2.19,Music,0.6625955104827881
2.2,Music,0.6625955104827881
2.21,Music,0.6625955104827881
2.22,Music,0.6625955104827881
2.23,Music,0.6625955104827881
2.24,Music,0.6946630477905273
2.25,Music,0.6946630477905273
2.26,Music,0.6946630477905273
2.27,Music,0.6946630477905273
2.28,Music,0.6946630477905273
2.29,Music,0.6946630477905273
2.3,Music,0.6946630477905273
2.31,Music,0.6946630477905273
2.32,Music,0.6946630477905273
